topic_id,topic_size_hard,topic_size_soft,hard_npmi,fuzzy_npmi,npmi_delta_fuzzy_minus_hard,top_words
9,20,18.605456129871413,0.025193285524370463,0.20471524403169117,0.1795219585073207,"проблемы, взгляд, россии, качестве, литературы, анализ, актуальность, развития, жизни, смысле"
8,18,17.666776247767583,0.313691251128487,0.1802486157772537,-0.1334426353512333,"языком, языка, научно, русского, оформления, сноски, касается, качество оформления, оформления сноски, ясность структуры"
3,11,12.170627278480506,0.31231701125460054,0.15015082429410886,-0.16216618696049168,"анализ, развития, научно, актуальность, качество, ценность, библиография, критерии лучшей, критерии, качество русского"
6,13,18.72246527799012,0.45068000102094224,0.0832836143034809,-0.36739638671746133,"проблемы, актуальность, отношения, трудно, отдельных, публикации, имеют, ценность, данных, структуры"
1,17,19.01087797552548,-0.210375138510154,0.06489599894273994,0.27527113745289394,"тема, данных, различных, общества, данные, уровне, качестве, анализа, истории, взгляд"
4,22,19.364897247552435,-0.20883235366959066,0.05096759717107074,0.2597999508406614,"актуальность, научно, основных, хороший, следует, язык, проблемы, темы, местами, языком"
2,22,22.03484644608266,-0.321243627418696,0.02848490121190162,0.3497285286305976,"язык, актуальность, анализ, взгляд, стороны, вопросы, проблемы, выводы, значимость, истории"
0,15,18.917268991094943,0.32802687992521284,0.000646253405388612,-0.32738062651982425,"отсутствует, данные, российского, истории, связанных, сожалению, тему, частности, русском, место"
5,24,20.092163061812986,-0.035692346126349576,-0.04153040638584881,-0.005838060259499234,"отсутствует, истории, теоретический, теории, актуальная, местами, россии, написана, языке, впечатление"
7,29,24.414621343821864,-0.21528932454068025,-0.04552605647806719,0.16976326806261305,"местами, уровне, данной, язык, смысле, актуальная, качестве, качество, российского, издание"
